round,pair,team_a,team_b,challonge_match_id,time,date,side
256,1,อยากฮีลใจแต่เป็นได้แค่ฮีลมังกาซอ,อยู่ไม่ไหว,473179670,19:00,28 กันยายน 2569,A
256,2,ꜰᴀᴇʟᴏʀɪᴀ,อาโอวีอาโอใจ,473179671,19:00,28 กันยายน 2569,A
256,3,MEOWMEOW,สาดไปสมาชิก,473179672,19:00,28 กันยายน 2569,A
256,4,NAIAD CHILL,The Mystics.,473179673,19:00,28 กันยายน 2569,A
256,5,Nunoinarak,PYWON,473179674,19:00,28 กันยายน 2569,A
256,6,ฟันเหลืองเคืองไม,KUROBUTA PREMiUM,473179675,19:00,28 กันยายน 2569,A
256,7,กลอ ไก่,ตึงจัด,473179676,19:00,28 กันยายน 2569,A
256,8,Babiezzzzz,NovaApex,473179677,19:00,28 กันยายน 2569,A
256,9,Nursingสั่งลุย,เจ๊พลอยสั่งลุย,473179678,19:00,28 กันยายน 2569,A
256,10,ZORINA,ไม่หลายใจแต่หลายจาน,473179679,19:00,28 กันยายน 2569,A
256,11,SaWaDiKa.,SuperShine,473179680,19:00,28 กันยายน 2569,A
256,12,VELVET LADY,Power girl,473179681,19:00,28 กันยายน 2569,A
256,13,Winx,ma doen len v.2,473179682,19:00,28 กันยายน 2569,A
256,14,GSTxMR,bunnygawa,473179683,19:00,28 กันยายน 2569,A
256,15,RubySunshine,VELVYN,473179684,19:00,28 กันยายน 2569,A
256,16,ไหนลองทำหน้าโกรธ,หมูแคระ ( Moo Krae ),473179685,19:00,28 กันยายน 2569,A
256,17,กินไก่แถวหอไอเฟล,เสื้อสวยๆ ฉันขอนะ,473179686,19:00,28 กันยายน 2569,A
256,18,Kid mai ook diao bok wan lang,BABY Jonior,473179687,19:00,28 กันยายน 2569,A
256,19,VIXEN.2,โห่พี่ บัฟผม,473179688,19:00,28 กันยายน 2569,A
256,20,capybara cuteV.2,SIGMA GIRL,473179689,19:00,28 กันยายน 2569,A
256,21,Maihodteadaimod,All for Aom,473179690,19:00,28 กันยายน 2569,A
256,22,Tiny Terror,APPLE SOUR,473179691,20:00,28 กันยายน 2569,A
256,23,Nuggets,Lavender Mood,473179692,20:00,28 กันยายน 2569,A
256,24,CCM,Kinetic Potential,473179693,20:00,28 กันยายน 2569,A
256,25,RAVÉLIA,Thungpo,473179694,20:00,28 กันยายน 2569,A
256,26,ลาก่อนแครี่ของผม,Fighter Woman,473179695,20:00,28 กันยายน 2569,A
256,27,Saohai e-sports,Last Light,473179696,20:00,28 กันยายน 2569,A
256,28,Kaneki Ken,Cute Killers,473179697,20:00,28 กันยายน 2569,A
256,29,ไม่ซ้อม พร้อมแข่ง,LITTLE - CHICKEN,473179698,20:00,28 กันยายน 2569,A
256,30,ชาวนากับงูเห่า.,The Endless,473179699,20:00,28 กันยายน 2569,A
256,31,Flashlight,เทคมาเนียน,473179700,20:00,28 กันยายน 2569,A
256,32,ยางวงสึแดง,Magic Friends​ V2​,473179701,20:00,28 กันยายน 2569,A
256,33,Samutsakhon Esports,HEXA,473179702,20:00,28 กันยายน 2569,A
256,34,MMaPSB,โหด 5 ซ่าได้ทุกเลน,473179703,20:00,28 กันยายน 2569,A
256,35,ฆนมไทย,GG Later.,473179704,20:00,28 กันยายน 2569,A
256,36,RJ รีบจบรีบไปนอน,Tower Zoom,473179705,20:00,28 กันยายน 2569,A
256,37,RAVENIX,STOU ESPORTS,473179706,20:00,28 กันยายน 2569,A
256,38,มายลิตเติลโพนี่,Breakout star,473179707,20:00,28 กันยายน 2569,A
256,39,DARK DIVA,ปลาปักเป้ามาเอาปอง,473179708,20:00,28 กันยายน 2569,A
256,40,What’s,QUEEN5,473179709,20:00,28 กันยายน 2569,A
256,41,QUEEN TIMES,Mega Kiss,473179710,20:00,28 กันยายน 2569,A
256,42,Baby Monster,Babybombb,473179711,20:00,28 กันยายน 2569,A
256,43,สาวอุดร,PWG,473179712,21:00,28 กันยายน 2569,A
256,44,Girlsonly,ตัวแม่จะแคร์เพื่อ,473179713,21:00,28 กันยายน 2569,A
256,45,Queen Ace,VALYRA,473179714,21:00,28 กันยายน 2569,A
256,46,Honey Toast,MANIAC,473179715,21:00,28 กันยายน 2569,A
256,47,โครตจะไฮโซ,RENAXIS,473179716,21:00,28 กันยายน 2569,A
256,48,F1สั่งลุย,Lady Ignition,473179717,21:00,28 กันยายน 2569,A
256,49,Aftershock,ชอบแมวส้มมีหนวดจริงๆ,473179718,21:00,28 กันยายน 2569,A
256,50,heartseeker,เข้าหูละ เหลือเข้าใจ,473179719,21:00,28 กันยายน 2569,A
256,51,แก๊งลูกหมี,YaiTuaD,473179720,21:00,28 กันยายน 2569,A
256,52,พีสะเดิดเปิดพัสดุ,NØVΛ,473179721,21:00,28 กันยายน 2569,A
256,53,แพะไม่หมู,ma aww,473179722,21:00,28 กันยายน 2569,A
256,54,HIVE,Velvet Reign,473179723,21:00,28 กันยายน 2569,A
256,55,ALWAYSG,Baddiez E-Sports,473179724,21:00,28 กันยายน 2569,A
256,56,กดสกิลเป็นก็พอ,Power Puff Ping,473179725,21:00,28 กันยายน 2569,A
256,57,PPverygood,FROSTY BU,473179726,21:00,28 กันยายน 2569,A
256,58,Yellow girls,BBbunny,473179727,21:00,28 กันยายน 2569,A
256,59,JAKKARU E-SPORTS,PITIPIWPIW WIW WIW,473179728,21:00,28 กันยายน 2569,A
256,60,The Angry Crew,VULKAN1,473179729,21:00,28 กันยายน 2569,A
256,61,Barbie girl,Poltergeist,473179730,21:00,28 กันยายน 2569,A
256,62,เล่นเอาเสื้อ,PenBara,473179731,21:00,28 กันยายน 2569,A
